type,content,title,group,poll_id,areena_id,areena_caption,ims_id,image_caption,image_copyright,background,extra,areena_extra,footer,internal comment
main_video,,,,,erokurssi,,39-129398266586dc43fa0f,,,,,,,
title,,"
Hyvä ero on mahdollista tehdä myös yksin – opi itsestäsi näiden eroterapeutin harjoitusten avulla",,,,,,,,,,,,
paragraph_section,"Ero. Sanaan liittyy valtava tunnekirjo: luopumisen tuskaa, yön läpi valvottavaa ahdistusta, kurkkua kuristavia muistoja. Pelkoa ja vihaa, mutta samalla orastavaa helpotusta ja kutkuttavaa toivoa uudesta, paremmasta elämästä. Tärkeintä, mitä voit tässä kohtaa tehdä, on pysähtyä itsesi äärelle. Tervetuloa mukaan Pieneen erokouluun!",,,,,,,,,,,,,
poll_section,,,,47-4a0983ff-08a1-4a80-9fa2-d17b5210591d,,,,,,,,,,
paragraph_section,"**“Miksi näistä asioista ei ole puhuttu aikaisemmin? Miksi näitä ei opeteta missään?”**

Nyt puhutaan ja opitaan! Jos harkitset eroa, olet keskellä eroprosessia tai vaikka erosta olisi jo aikaa, pieni erokoulu on juuri sinulle. Erokoulu on myös sinulle, joka haluat oppia kuuntelemaan omia tarpeitasi, keskustelemaan parisuhteessa ja ehkäpä myös välttämään eron. 

Pienen erokoulun harjoitusten avulla saat työkaluja omien tarpeiden ja tunteiden tunnistamiseen sekä niiden käsittelemiseen. Oppaanasi toimii eroihin ja parisuhteen vuorovaikutukseen erikoistunut terapeutti, itsekin eroja läpikäynyt **Viivi Niinikangas**. ",,,,,,,,,,,,,
areena_section,,,,,1-70940343,Eroterapeutti Viivi Niinikangas,,,,,,,,
,"Ero on sekamelska tunteita ja fiiliksiä, joista puhuminen ja joiden käsitteleminen voi olla vaikeaa. Eroihin liittyy edelleen myös turhaa häpeää ja epäonnistumisen fiiliksiä. Kaikesta tästä voi olla hankala puhua muille. Et kuitenkaan ole yksin. Jokainen eroaja on tunteidensa kanssa yhtä haavoittuvainen, olipa ero vuosien harkinnan tulos tai täysi yllätys.

Alla on teemoitettu yleisimpiä asioita, tunteita ja mietteitä, jotka tulevat erotilanteessa usein vastaan. Jokaisen teeman alla on eroterapeutti Viivi Niinikankaan videovinkit tilanteeseen. Lisäksi sinulle on tehtäviä omien tunteiden ja tarpeiden mylläämiseen sekä konkreettisten asioiden miettimiseen.",,,,,,,,,,,,,
paragraph_section,"Harjoitusten avulla: 
* ![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/1_icon_erokurssi.png) Saat työkaluja tunteiden käsittelyyn
* ![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/2_icon_erokurssi.png) Tunnistat paremmin tarpeesi 
* ![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/3_icon_erokurssi.png) Opit vetämään rajoja",,,,,,,,,,,,,
exercise,"*Videon sisältö tiivistettynä: Omista keskeneräisistä eroajatuksista voi olla hankala puhua kumppanille, koska seuraukset pelottavat. Mitä jos toinen lähteekin heti, mutta en itse olekaan vielä valmis? Siksi eropäätöstä voi huomaamattaan pitkittää omassa mielessään ihan liian kauan. Avoin keskustelu ja omista tarpeista kertominen suhteen jokaisessa vaiheessa on tärkeää. Silloin eropohdinta ei tule kummallekaan yllätyksenä.*

#### Tehtävät:

Asioiden kirjoittaminen tai niistä puhuminen tuo usein selvyyttä ja konkretiaa niiden käsittelemiseen. Mitä oikeasti haluat ja tarvitset? Se selviää vasta pysähtymällä ja keskittymällä.

**Listaa suhteen plussat ja miinukset**\
Mieti, mitkä asiat saavat sinut jäämään suhteeseen tai minkä pitäisi muuttua, että haluaisit jatkaa yhdessä. Ovatko muutokset realistisia nykyisessä suhteessa?

**Mieti, mikä erossa pelottaa**\
Listaa konkreettisia pelkojasi ja pohdi, ovatko ne realistisia. Onko eron esteenä yksinjäämisen pelko vai huoli taloudesta? Pohditko, miten selviydyt yksin tai tapaatko enää koskaan ketään? Pelkojen listaaminen voi helpottua, kun mietit, miten jatkaisit tätä lausetta: *En voi erota, koska…?*

#### Minitarina erosta: ""Tuntui, että oon hirveän itsekäs""

Kuuntele Jennin tarina eropäätöksen tekemisestä.",Pitäisikö meidän erota?;Listaa plussat ja miinukset ja tee pelkolista,exercise_1,47-cbaca7ec-8e9e-41bd-91ab-bee07a886ac5,1-70940337;1-70940317,“Erosta puhuminen voi olla hankalaa”,,,,,erokurssi_1_pitaisiko_meidan_erota,video_top;audio,"#### Mistä tietää pitäisikö erota

Lisää Jennin ajatuksia voit kuunnella [Melkein kaikki erosta -podcastista](https://areena.yle.fi/podcastit/1-70717000). Jaksosta saat myös lisää oivalluksia, apua ja tukea. 

![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/erokurssi_podcast.png)\
[Seuraa meitä myös somessa](https://www.instagram.com/ylemelkeinkaikkielamasta/).",
exercise,"*Videon sisältö tiivistettynä: Ero osuu syvimpiin tunteisiimme, ja usein vihan, pettymyksen ja surun takana lymyää häpeä sekä riittämättömyys. Häpeästä pääsee eroon vain kohtaamalla se ja paljastamalla, miten pahalta ero oikeasti tuntuu ja miten paljon se satuttaa.*

#### Tehtävät:

**Pohdi, missä tilanteissa olet tuntenut häpeää ja miksi**\
Muistele hetkiä, joissa häpeä on ollut läsnä, ja mieti, mistä se on kummunnut? Kirjoita ylös, millaisia tunteita olet tilanteessa tuntenut ja mitä olisit siinä hetkessä tarvinnut.

**Ota haltuun vinkit, joilla häpeää voi hoitaa**

1. **Pysähdy itsesi äärelle ja tunnista häpeä**\
Mieti, mitä muita tunteita häpeäkokemukseesi liittyy ja missä tilanteissa se nousee pintaan. Takana voi olla esimerkiksi vihaa, syyllisyyttä, yksinjäämisen tai hylkäämisen pelkoa ja inhoa. Häpeä voi saada hyökkäämään, puolustautumaan, pakenemaan tai jähmettymään. Tunnistatko muut tunteet?

2. **Tunnusta häpeä**\
Häpeä on osa sinua ja meitä kaikkia. Sitä ei pääse eroon piilottelemalla tai suojautumalla, eikä tarvitsekaan. Se on luonnollinen tunne. Muista: sinä saat olla heikko, haavoittuva, riittämätön ja tarvitseva.

3. **Ymmärrä itseäsi**\
Mieti, miten ja missä tilanteessa häpeä on saanut sinut toimimaan. Millaisia rooleja ja suojamuureja olet itsellesi luonut häpeän tunteen tilalle. Tunnistatko itsessäsi esimerkiksi suorittajaa, miellyttäjää, välttelijää tai kyynikkoa?

4. **Puhu häpeästä**\
Häpeä helpottuu puhumalla ja kertomalla siitä jollekin läheiselle tai tarvittaessa esimerkiksi terapeutille. Myös itselle puhuminen on tärkeää. Opettele sanoittamaan kauniita asioita itsellesi.

5. **Hyväksy itsesi**\
Opettele rakastamaan itseäsi. Katso itseäsi myötätunnolla ja armolla. Sinä olet riittävä ja hyvä sellaisenaan.

6. **Pyydä anteeksi**\
Eroon voi liittyä myös syyllisyyden tunteita. Usein anteeksi pyytäminen helpottaa sitä.

7. **Altistu häpeälle**\
Voit kohdata häpeääsi pienin askelin ja turvallisessa ympäristössä. Kun saat kokemuksia, ettet tulekaan torjutuksi vaan saat ehkä osaksesi myötätuntoa, häpeä helpottuu. Mieti etukäteen, miten selviät vaikeasta tilanteesta ja miten suojelet itseäsi.

8. **Ympäröi itsesi hyväksynnällä**\
Kiinnitä huomio kauneuteen ja hyviin asioihin ympärilläsi. Valitse ympärillesi ihmisiä, jotka kohtelevat sinua hyvin. Myös eläimiltä saa pyyteetöntä hyväksyntää. Jos sinulla ei ole omaa lemmikkiä, rapsuttele vaikkapa naapurin koiraa. Hymyile muille, ja saat varmasti hymyjä takaisin.

#### Minitarina erosta: ""Omat rajat ovat löytyneet häpeän kautta""

Kuuntele Karin tarina eroon liittyvästä häpeästä.",Ero hävettää;Näin hoidat häpeääsi kirjoittamalla,exercise_2,47-bd7dbc52-f968-4672-bbdb-2ad47b448ff5,1-70940327;1-71027611,“Kohtaa häpeäsi”,,,,,erokurssi_2_ero_havettaa,video_top;audio,"#### Miksi ero hävettää?

Lisää Karin ajatuksia voit kuunnella [Melkein kaikki erosta -podcastista](https://areena.yle.fi/podcastit/1-70720962). Jaksosta saat myös lisää oivalluksia, apua ja tukea. 

![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/erokurssi_podcast.png)\
[Seuraa meitä myös somessa](https://www.instagram.com/ylemelkeinkaikkielamasta/).",
