type,content,title,group,poll_id,areena_id,areena_caption,ims_id,image_caption,image_copyright,background,extra,areena_extra,footer,internal comment
full_main_image,,,,,,,39-129740566603aaa159eb,,,,,,,
title,Näin aloitat sijoittamisen,,,,,,,,,,,,,
paragraph_section,"Oletko kiinnostunut sijoittamisesta?

Jos vastauksesi on myöntävä kannattaa tutustua tämän kurssin sisältöön.",,,,,,,,,,,,,
poll_section,,,,95-491837cf-35c6-4351-9d63-ddad72167038-1-1,,,,,,,,,,
paragraph_section,"Sijoittaminen voi olla tehokas tapa kasvattaa taloudellista turvaa ja saavuttaa pitkän aikavälin tavoitteita. Kurssin avulla opit ymmärtämään markkinoiden toimintaa ja kehittämään strategioita, jotka sopivat juuri sinun tilanteeseesi. 

Nuorten osakesäästäjien puheenjohtaja Maria Nurminen tarjoaa selkeitä ohjeita ja käytännön vinkkejä, jotka tekevät sijoittamisen aloittamisesta helpompaa ja vähemmän pelottavaa. Tutustumalla kurssiin saat arvokkaita työkaluja, jotka auttavat tekemään harkittuja sijoituspäätöksiä.

Kuudessa eri videossa käydään läpi sijoittamisen perusteita ja sitä, miksi juuri nyt voisi olla hyvä hetki aloittaa sijoittaminen.

* ![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/1_icon_erokurssi.png) Kasvattaa varallisuuttasi
* ![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/1_icon_erokurssi.png) Hallitsemaan raha-asioitasi paremmin
* ![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/1_icon_erokurssi.png) Vähentämään taloudellista stressiä
* ![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/1_icon_erokurssi.png) Ymmärtämään markkinoiden toimintaa
* ![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/1_icon_erokurssi.png) Saavuttamaan taloudellisia tavoitteita

Sijoittamiskurssi on kehitetty yhteistyössä Maria Nurmisen kanssa.

Voit edetä omaan tahtiin ja tutustua perusteisiin rauhassa.

Kurssin lopussa voit testata osaamistasi ja käydä antamassa palautetta.",,,,,,,,,,,,,
areena_section,,,,,,,,,,,,,,
paragraph_section,,,,,,,,,,,,,,
exercise,"Sijoittaminen auttaa kasvattamaan taloudellista turvaa ja saavuttamaan pitkän aikavälin tavoitteita.

Sijoittaminen mahdollistaa varallisuuden kasvun ja tarjoaa mahdollisuuden hyödyntää korkoa korolle -ilmiötä.

Pääoma on rahaa, aika mahdollistaa tuottojen kasvun, ja tuotto on palkinto otetusta riskistä.

Älä anna ajan tai tiedon puutteen estää sinua aloittamasta sijoittamista. Aloita pienestä ja lisää tietoa ja taitojasi vähitellen",Sijoittamisen Aloittaminen;Tutustu sijoittamisen perusteisiin,,,,,,,,,,,,
exercise,"Ajan myötä saat tuottoa paitsi alkuperäiselle sijoitukselle myös aiemmin kertyneille tuotoille, mikä johtaa eksponentiaaliseen kasvuun.

Mitä aikaisemmin aloitat, sitä enemmän aika voi kasvattaa varallisuuttasi korkoa korolle -ilmiön ansiosta.

Nuorena aloittaessasi sijoittaminen on pitkän aikavälin peliä. Sinulla on enemmän aikaa odottaa mahdollisten tappioiden kääntymistä voitoiksi.  

Sijoittaminen nuorena kehittää taitoja talouden hallinnassa, riskienhallinnassa ja pitkäjänteisessä suunnittelussa.",Nuorena Aloittamisen Hyödyt;Aloita sijoittaminen ajoissa,,,,,,,,,,,,
exercise,"Eri sijoituskohteet, kuten osakkeet, rahastot ja ETF:t, tarjoavat erilaisia mahdollisuuksia ja riskitasoja.

Osakkeet ovat suoria omistuksia yrityksistä, rahastot tarjoavat hajautusta, ja ETF:t yhdistävät molempien ominaisuuksia.

Korkeampi riski voi tuoda suurempia tuottomahdollisuuksia, mutta myös suurempia tappioita.

Hajauttamalla sijoituksia voit hallita ja tasapainottaa riskejä.

Arvo-osuustili (AOT) ja osakesäästötili (OST) tarjoavat erilaisia etuja verotuksessa ja sijoitusten hallinnassa.",Sijoitusvaihtoehdot;Löydä itsellesi paras vaihtoehto,,,,,,,,,,,,
