type,content,title,group,poll_id,areena_id,areena_caption,ims_id,image_caption,image_copyright,background,extra,areena_extra,footer,internal comment
full_main_image,,,,,,,39-120088165549b4a3005c,"Nainen toimistossa, hänellä on kuulokkeet päässä, kännykkä kädessä, lehtiö toisessa ja joka puolella post it -lappuja.",,,,,,
title,,Löydä kadonnut keskittymiskykysi näillä viidellä harjoituksella,,,,,,,,,,,,
paragraph_section,"#### Keskittymiskyky joutuu arjen viriketulvassa valtavalle koetukselle, mutta eipä hätää: sitä voi harjoitella!

Psykologian tohtori ja aivoasiantuntija **Mona Moisalan** kanssa kehitetyssä kokonaisuudessa on viisi helppoa harjoitusta, jotka auttavat takaisin kadonneen keskittymiskyvyn äärelle.

*Huomioithan, että aktiivisuuden ja tarkkaavuuden häiriöt (kuten ADHD ja ADD) ovat neuropsykiatrisia oireyhtymiä ja niiden hoitamiseksi kannattaa kääntyä terveydenhuollon ammattilaisten puoleen.*

Harjoitusten avulla

* saat päiviisi hallinnan tunnetta
* opit siirtämään itsesi ongelmanratkaisusta rentoutukseen ja toisinpäin
* jaksat keskittyä paremmin
* tulet tietoiseksi siitä, milloin keskittymiskykysi häiriintyy
* annat aivoillesi niiden tarvitsemaa lepoa

[Testaa ensin leikkimielisellä keskittymiskykytestillä, millainen keskittyjä olet.](https://yle.fi/aihe/a/20-10005635)

Kun olet tehnyt harjoitukset tai kokeillut osaa niistä, tule keskustelemaan aiheesta ja kertomaan, miltä harjoitukset tuntuivat. Keskusteluosio löytyy selaimessa sivun lopusta ja sovelluksessa yläreunasta.",,,,,,,,,,,,,
title_section,,Harjoitukset,,,,,,,,,,,,
exercise,"**Kesto:** ateriatuokion pituus

Tämä harjoitus on helppo toteuttaa päivittäin. Harjoituksen tehtyäsi opit tietoisesti välttämään multitaskaamista eli usean asian tekemistä samanaikaisesti. Samalla lisäät päivääsi palauttavia hetkiä.

1. Päätä, että päivässäsi on yksi ateriahetki, jolloin keskityt vain syömiseen. Et esimerkiksi selaa älylaitteita tai lue samaan aikaan, vaan keskityt siihen, mitä suuhusi laitat.
2. Suuntaa huomiosi esimerkiksi siihen, miltä ruoka näyttää, miltä se tuntuu suussa, miltä se maistuu tai vaikka vain siihen, miltä kehossasi tuntuu ennen ja jälkeen syömisen. Jos mieli harhailee, ei hätää – niin käy lähes kaikille. Silloin huomion voi palauttaa takaisin syömiseen ja jatkaa keskittymistä. 

Harjoituksen yhteydessä on käynnissä myös somehaaste. Osallistu siihen jakamalla kuva omasta aamupalastasi tunnisteella #aamupalahaaste. Laita sen jälkeen puhelin pois ja keskity vain syömiseen.","Läsnä lautasen äärellä;Keskitä huomiosi siihen, mitä syöt",exercise_1,47-2f1b073b-1b95-4eda-924c-de7598b5a890,,,,,,,,,,
exercise,"**Kesto:** muutama minuutti

Tämä harjoitus sopii tehtäväksi illalla tai niinä hetkinä, kun tunnet olosi väsyneeksi ja mielesi tekisi vain selailla puhelimella päämäärättömästi. Nimittäin toisin kuin voisi luulla, ”aivot narikkaan” -selailu kuormittaa aivojasi vain lisää.

Kun katkaiset puhelimen viriketulvan, aivosi saavat lepoa ja palautumista. Jos teet harjoituksen illalla, teet myös suuren palveluksen yöunillesi.

1. Mieti arkeesi sopiva ja itsellesi mieluisa tekeminen sellaisiin hetkiin, kun tunnet olosi väsyneeksi ja haluaisit selata puhelinta päämäärättömästi. Tekemisen olisi hyvä olla sellaista, joka pakottaa sinut keskittymään yhteen asiaan. Se voi olla esimerkiksi lukemista, käsillä tekemistä tai iltapalatuokio, jolloin pyrit olemaan läsnä siinä hetkessä.
2. Tee toiminnosta rutiini, jota toistat iltaisin puhelimen selailun sijaan.",Aivojen miniloma kännykästä;Rentoudu katkaisemalla viriketulva,exercise_2,47-b4055417-049a-4e80-be14-ae33766d0ea9,,,,,,,,,,
exercise,"**Kesto:** 15 minuuttia

Harjoituksen voi tehdä missä ja milloin vain, kun sinulla on pieni tauko.

1. Jätä puhelin kotiin tai työpisteelle ja lähde noin viideksitoista minuutiksi ulos kävelylle. Jos sinun pitää katsoa puhelimestasi aikaa, laita puhelimesi taskuun lentokonetilaan ja laita ajastin vartin päähän.
2. Valitse joko näkö-, kuulo-, haju- tai tuntoaisti, ja keskity siihen harjoituksen ajan.

Jos valitset näköaistin, keskity tarkasti siihen, mitä näet. Voit myös keksiä itsellesi tarkkaavaisuutta vaativan tehtävän: laske vaikkapa lentäviä lintuja tai vastaan tulevia ihmisiä.

Jos taas valitset kuuloaistin, keskity kävellessäsi siihen, mitä kuulet. Millaisia ääniä ympäristössäsi on? Jos valitset hajuaistin, mitä tuoksuja havaitset ympärilläsi?

Vaikein aisti harjoituksessa on tuntoaisti. Jos valitset sen, tunnustele, miltä jalkapohjissasi tuntuu kävelyn aikana. Pystytkö tuntemaan soran, hiekan, asfaltin tai lumen kengänpohjan läpi? Jos sää ja alusta sallii, tee harjoitus paljain jaloin.",Aistikävely;Tutki ympäristöä aistit avoinna,exercise_3,47-4b84b4ef-be12-424a-91cf-d9072a014f9d,1-67085943,Virkistävä aistikävely herättelee aisteja.,,,,,,,,
exercise,"**Kesto:** 10 min

Tämän harjoituksen avulla voit harjoittaa keskittymisen lisäksi havainnointikykyäsi. Voit toteuttaa tämän harjoituksen kotona, työpisteellä tai vaikkapa luokkahuoneessa lukutunnin aluksi.

1. Ota pöydälle kynä ja paperia sekä kirja tai muu teksti. Ajasta puhelimesi ajastin kymmenen minuutin päähän, ja keskity siksi aikaa tekstin lukemiseen. Luettava teksti voi olla paperilla, kirjassa tai näytöllä.
2. Aina kun huomaat ajatuksen harhailevan tekstistä tai sinun tekisi mieli tehdä jotain muuta, merkitse paperille viiva. Jatka sitten lukemista.

Harjoituksen tavoitteena on oppia huomaamaan, milloin ajatuksesi on lähtenyt harhailemaan. Miksi ajatus lähti harhailemaan – oliko mieli kenties levoton tai väsynyt? Tunsitko nälkää? Vaikuttiko vuorokaudenaika harjoitukseen?",Lukuharjoitus;Treenaa keskittymistä ja huomaa mielen harharetket,exercise_4,47-b373c01e-c257-4998-82f4-c048280985e5,,,,,,,,,,
exercise,"**Kesto:** 1 tunti

Tämän Pomodoro-tekniikkanakin tunnetun harjoituksen avulla saat päivääsi yhden tunnin laadukkaampaa keskittymistä. Voit tehdä harjoituksen keskittymistä vaativien työ- tai koulutehtäviesi aikana.

1. Päätä, että uppoudut yhteen asiaan 25 minuutin ajaksi. Laita puhelimesi ajastin tai herätyskello soimaan 25 minuutin päähän. Laita samalla puhelimen muut ilmoitukset pois päältä. Asetu paikkaan, jossa on mahdollisimman vähän erilaisia häiriötekijöitä.
2. Tee sitten valitsemaasi asiaa keskittyneesti siihen asti, kunnes herätyskello tai ajastin piippaa. Pidä hälytyksen jälkeen viiden minuutin tauko.
3. Tauon jälkeen keskity samaan asiaan taas 25 minuuttia ja pidä sen jälkeen sama viiden minuutin tauko. Voit halutessasi jatkaa harjoitusta ja edetä samalla tavalla.",Keskittymistunti;Anna aikaa uppoutumiselle,exercise_5,47-7fd08d2a-16ee-43c8-876d-35330f1c9bc3,,,,,,,,,,
title_section,,Monan vinkit treenaajalle,,,,,,,,,,,,
