type,content,title,group,poll_id,areena_id,areena_caption,ims_id,image_caption,image_copyright,internal comment
title,,"Unohdatko kaupassa, mitä tulit ostamaan? Katoavatko nimet päästäsi? Näillä keinoilla parannat muistiasi erilaisissa tilanteissa",,,,,,,,
main_image,,,,,,,39-120088165549b4a3005c,"Sumennettuna taustalla nainen, jolla kuulokkeet päässä, kännykkä kädessä, lehtiö toisessa ja joka puolella post it -lappuja",,
subtitle,,"Muistiharjoituksilla opit pitämään loistoideat tallessa, palauttamaan mieleesi suuriakin kokonaisuuksia ja laajentamaan muistisi kapasiteettia.",,,,,,,,
paragraph_section,"Alla on viisi harjoitusta, joiden avulla:

* rauhoitat muistettavien asioiden kaaosta päässäsi
* kehität työskentelyäsi ja ajatteluasi
* luovien oivallustesi määrä saattaa kasvaa

Harjoitukset on kehitetty yhdessä työelämäprofessori **Lauri Järvilehdon** kanssa.

Harjoituksissa esiteltyjä tekniikoita kannattaa toistaa arjessa säännöllisesti, jolloin niistä tulee osa rutiinia.

***TÄHÄN VIELÄ WHATSAPP + YHTEISÖIDEN PUFFAUS. VOI TULLA JOHONKIN TOISEENKIN KOHTAAN, MUTTA AIKA ALKUUN KUITENKIN.***",,,,,,,,,"Ohjeet boldauksiin ja muihin tyyleihin täällä:
https://www.markdownguide.org/basic-syntax/

Nopeet ohjeet
**boldaus**
*kursivointi*
*lista
1. numeroitu lista
[linkkiteksti](linkin urli)

Yritetään välttää, että missään olisi turhia välilyöntejä, esimerkiksi kappaleiden lopussa."
exercise,"**Kesto:** 5 min

Näiden kahden niksin avulla opit painamaan nimet helpommin mieleesi.

1. Kun uusi tuttavuus esittäytyy sinulle ja kertoo nimensä, toista nimi ääneen tervehtiessäsi häntä. Toistamalla nimen kertaat sitä itsellesi mielessäsi. Nimien, kuten minkä tahansa muunkin opittavan asian kertaaminen, voi synnyttää aivoissasi uusia hermoverkkoja. Näin muistijälki vahvistuu.
2. Luo nimen ympärille jokin mielleyhtymä eli assosiaatio. Kun kuulet uuden ihmisen nimen, yritä keksiä mielessäsi jokin siihen liittyvä fakta, oivallus tai vaikkapa vitsi.

Mitä hauskemman tai merkityksellisemmän mielleyhtymän keksit, sitä helpompaa sinun on palauttaa nimi mieleesi. Katso mallia alta:",Harjoitus 1: Nimet haltuun,exercise_1,47-06d2995c-7aa4-4490-93c4-7cd024c3e961,1-67038618,,,,,"Title sarakkeessa, erota otsikko ja väliotsikko puolipisteellä. Ei turhia välilyöntejä."
exercise,"Kesto: 10–15 minuuttia

Kun muistiasi kuormittaa hoitamattomien asioiden monenkirjava vyyhti, istu alas ja ota avuksi aihepiireittäin luodut, käsintehdyt listat.

Tämä harjoitus voi helpottaa myös tekemättömiin askareisiin liittyvää stressiä.

1. Tarvitset harjoitusta varten A4-kokoisen paperin ja kynän. Kirjaa paperille kaikki mielessäsi pyörivät tehtävät, jotka sinun pitää muistaa tehdä.
2. Sen jälkeen ryhmittele tehtävät allekkain erilaisiin sarakkeisiin sen mukaan, missä tehtäviin voit vaikuttaa. Ryhmittele esimerkiksi kotona, töissä ja harrastuksissa hoidettavat tehtävät eri sarakkeisiin. Voit merkitä kuhunkin sarakkeeseen myös, vaatiiko tehtävän tekeminen esimerkiksi tietokonetta tai puhelinta.
3. Voit viedä harjoituksen pidemmälle leikkaamalla paperista kunkin sarakkeen erilleen. Tämän jälkeen voit viedä kunkin listan ympäristöön, jossa voit konkreettisesti toteuttaa listalle kirjoitetun asian. Vie esimerkiksi työhuoneessa hoidettaviin tehtäviin liittyvä lista työhuoneeseen.",Harjoitus 2: Taltuta muistikaaos,exercise_2,47-4dd1b18e-daa3-4077-bddc-44e2ec094173,,,39-11950906543b300ee3e0,Esimerkki harjoituksessa tehdystä taulukosta.,Kuva: Jussi Meling,"Tehtävän kaikki tiedot tulee yhteen riviin, tiedot eri sarakkeisiin"
exercise,"**Kesto:** muutama minuutti

Harjoituksen avulla pidät hyvät ideasi helposti tallessa ja pystyt palaamaan niihin vuosienkin jälkeen. Kättesi ulottuvilla on aina runsas ideavarasto moniin tarpeisiin.

Harjoituksessa kannattaa käyttää kynää ja muistivihkoa, sillä tutkimusten mukaan käsin kirjoittaminen edistää asioiden muistamista.

Voit käyttää myös puhelimen muistiinpanotoimintoa tai tallettaa ideasi tietokoneelle.

1. Kanna mukanasi pientä muistivihkoa. Kun saat hyvän idean, pysähdy ja kirjoita se oitis muistivihkoon. Näin ideasi pysyvät tallessa, sillä toisin kuin usein kuvittelemme, loistavatkin aivoitukset voivat kadota tiedostamattoman mielemme syövereihin.
2. Kun ideoita alkaa olla paljon, voit viedä harjoituksen entistä pidemmälle hyödyntämällä erilaisia digitaalisia muistiinpanosovelluksia. Kirjaa uudet ideat arkistoon viikoittain tai kuukausittain. Näin pääset nopeasti käsiksi vaikka kymmenen vuoden takaisiin ideoihisi.

**Vinkki:** Saat arkistostasi vieläkin toimivamman, jos voit käyttää sovelluksissa erilaisia tunnisteita, kuten hashtageja. Jos merkitset esimerkiksi kaikki puutarhanhoitoon liittyvät ideat tunnisteella #puutarha, pystyt etsimään kaikki samaan teemaan liittyvät ideat arkistostasi pelkästään muistamalla niitä yhdistävän tunnisteen.",Harjoitus3: Tallenna loistoideat,exercise_3,47-e4d881f5-fcc2-4c54-a558-854493b970ed,,,,,,"Tässä on kolmannen tehtävän tiedot, jos jotain tietoa ei ole, jätä se sarake tyhjäksi"
exercise,"**Kesto:** 15–30 min

Tämä harjoitus sopii tilanteisiin, kun sinun pitää opetella muistamaan asioita ulkoa. Opit, miten voit laajentaa muistin kapasiteettia ympäristöä hyödyntämällä.

1. Tarvitset harjoitusta varten kynän ja muistilappuja. Kirjoita eri muistilapuille asiat, jotka sinun pitää oppia muistamaan.

2. Kun olet kirjoittanut muistettavat asiat muistilapuille, silmäile ympäristöäsi ja kiinnitä muistilappuja eri puolelle tilaa, jossa olet. Paina samalla muistilapuille kirjoitettuja asioita mieleesi.

3. Harjoittele nyt asioiden muistamista ulkoa. Käy mielessäsi tilaa läpi ja testaa, pystytkö palauttamaan mieleesi muistilappuihin kirjoitetut asiat. Ajattele sijainti sijainnilta erilaisia kohtia, joihin kiinnitit muistilappuja. Mitä niissä luki? Jos et muista lappuihin kirjoitettuja asioita, käy lukemassa muistilaput läpi ja kokeile uudestaan.

**Vinkki!** Toinen ympäristöä hyödyntävä muistitekniikka on jo antiikin aikana hyödynnetty muistipalatsi. Katso [Superihmiset-sarjan jaksosta](https://areena.yle.fi/1-63867762), miten rakennat mieleesi muistipalatsin.",Harjoitus 4: Hyödynnä ympäristöä,exercise_4,47-ea2f2072-f4f6-4167-8553-9bc240b13956,,,,,,Neljäs tehtävä
title_section,Laurin vinkit muistitreeneihin,,,,,,,,,Tämä on otsikko ilman valkoista taustaa
paragraph_section,"***PUHEKUPLA-KYSYMYSALUE JOKO TÄHÄN TAI HARJOITUSTEN VÄLIIN.***

### Mitä harjoituksia tehdessä on hyvä tietää?

**Lauri:** Jokaisella on oma kognitiivinen kapasiteettinsa, eikä harjoituksista kannata ottaa stressiä.

Geenit vaikuttavat siihen, kuinka helposti opimme uusia asioita, mutta myös omalla toiminnallamme on vaikutusta. Toistamalla harjoituksia uudestaan ja uudestaan luomme aivoihimme vahvemman muistijäljen harjoittelemastamme asiasta. Harjoitukset helpottuvat ajan myötä, kun muistijälki vahvistuu.

### Pelaan kotona perinteistä muistipeliä. Kehittääkö se muistiani?

**Lauri:** Muistipelin pelaaminen, kuten kaikki muutkin muistiharjoitukset, ovat hyvää aivojumppaa ja pitävät vireystilaa yllä. On kuitenkin mahdotonta sanoa, edistääkö se muistin kapasiteettia muuten. Kannattaa kokeilla erilaisia muistiharjoituksia ja testata, mitä vaikutuksia niillä on.

### Tuntuu, että harjoitukset eivät etene. Mikä neuvoksi?

**Lauri:** Ei hätää. Laske rohkeasti vaatimustasoa alemmas ja tee jokin helpompi harjoitus. Tauon pitäminen on myös hyvä vaihtoehto.

Toinen keino on koettaa miettiä, miten saisit harjoitukseen liitettyä edes jonkin itseäsi kiinnostavan seikan tai voimakkaan tunteen. Tutkimusten mukaan meidän on helpompi painaa mieleen asioita, jotka kiinnostavat, innostavat ja motivoivat meitä tai jotka herättävät tunteita.",,,,,,,,,"Jos haluat vastaavan otsikon valkosella taustalla laita se tämmöiseen otsikkosyntaksilla joka on:
## iso otsikko
### tekstiotsikko
#### pienempi otsikko
##### jne"
